[25.  6. 30. 15. 36. 27.],2
[25.  8. 29. 16. 37. 25.],2
[ 1. 17.  7. 23.  3. 42.],1
[ 1. 14.  9. 16.  3. 29.],1
[24.  3. 39. 10. 35. 20.],2
[24.  2. 34. 11. 35. 19.],2
[25.  2. 34. 11. 36. 33.],2
[ 1. 11. 11. 15.  4. 42.],1
[24.  6. 26. 18. 36. 28.],2
[26.  4. 29. 10. 36. 25.],2
[24.  5. 26. 14. 35. 22.],2
[ 1. 19. 10. 32.  3. 49.],1
[24.  2. 31.  5. 35. 21.],2
[ 2. 10. 12. 14.  7. 34.],1
[ 1.  9. 14. 14.  5. 34.],1
[25.  3. 28. 10. 37. 22.],2
[ 9. 11. 13. 11. 14. 30.],1
[25.  2. 38. 12. 36. 12.],2
[ 1. 12. 11. 21.  7. 29.],1
[24.  7. 31. 11. 36. 20.],2
[25.  2. 26.  8. 35. 21.],2
[ 1.  6. 13. 11.  7. 31.],1
[ 2. 14. 11. 21.  8. 38.],1
[ 7. 10. 18. 20. 11. 30.],1
[ 1. 16. 13. 21.  7. 43.],1
[ 1. 11. 21. 16.  7. 32.],1
[23.  2. 33. 10. 36. 20.],2
[24.  3. 34.  9. 36. 18.],2
[24.  3. 32. 10. 35. 19.],2
[25.  6. 31. 10. 36. 27.],2
[24.  3. 37. 13. 38. 23.],2
[ 1. 10. 10. 19.  4. 29.],1
[ 1. 13. 16. 15.  3. 38.],1
[24.  3. 25.  5. 36. 23.],2
[25.  6. 38. 11. 37. 23.],2
[26.  3. 27. 10. 37. 19.],2
[25.  4. 30. 14. 36. 17.],2
[26.  4. 30. 11. 36. 26.],2
[ 1. 17.  9. 26.  6. 48.],1
[24.  3. 29. 15. 36. 18.],2
[ 1. 16.  6. 26.  5. 41.],1
[ 5.  9. 19. 13. 12. 33.],1
[25.  3. 20. 11. 36. 21.],2
[ 4. 11.  7. 19. 11. 39.],1
[24.  3. 40. 14. 35. 23.],2
[ 3.  8. 12. 12. 11. 23.],1
[ 1. 20.  7. 29.  2. 59.],1
[ 1. 14.  7. 16.  7. 36.],1
[ 4.  9.  7. 24.  9. 27.],1
[ 1. 11. 10. 18.  1. 33.],1
[ 1. 14. 17. 16.  6. 46.],1
[ 1. 11. 19. 18.  6. 36.],1
[ 1. 16. 12. 24.  3. 34.],1
[24.  3. 30.  8. 36. 19.],2
[ 2. 10.  5. 18.  4. 34.],1
[ 1. 13.  9. 23.  2. 39.],1
[ 1. 17.  8. 21.  3. 47.],1
[24.  4. 28.  9. 35. 22.],2
[ 1. 14. 10. 21.  4. 36.],1
[26.  3. 30.  9. 39. 22.],2
[ 1. 15. 11. 24.  3. 38.],1
[25.  3. 30. 12. 36. 17.],2
[ 1. 14. 14. 18.  5. 36.],1
[ 1. 12. 10. 17.  4. 39.],1
[ 2.  8. 13. 18.  6. 33.],1
[22.  1. 30.  5. 34. 15.],2
[25.  0. 38.  8. 35. 21.],2
[25.  4. 41. 13. 35. 31.],2
[25.  2. 30.  7. 36.  8.],2
[ 0. 17.  4. 24.  0. 35.],1
[25.  2. 31.  9. 36. 14.],2
[24.  3. 29. 11. 35. 26.],2
[ 8.  7.  8. 16. 13. 30.],1
[24.  4. 34. 11. 37. 25.],2
[25.  3. 40. 16. 37. 19.],2
